,created_at,user_name,user_screen_name,user_followers_count,user_friends_count,user_location,tweet,tweet_likes,retweet_count
0,2021-12-04 21:54:04,Kay,nft_kay,96,293,,"RT @diegolara7: Whoever bought this kong, sick pick up! congratulations!! $RKL @RumbleKongs #P2E 
 
Who will be the first enterprise to spo…",0,4
1,2021-12-04 21:53:57,Rook.sol,thepurplerook,93,293,desolate planet #1454,@BitcoinSwisher @DApeWives @Nike An offer like that will TEST those hands. Show us the way.,0,0
2,2021-12-04 21:53:57,SkaterNike20,skater_nike_20,29,211,,"RT @Euskalmet: #EguraldiaDomingo

🌧 Precipitaciones constantes y muy abundantes, sobre todo en la mitad norte. Cota de nieve a unos 800-900…",0,4
3,2021-12-04 21:53:57,Brandon,darkoak123,924,404,Dr. Eggman's Secret Base,Did Nike ever end up selling this one? https://t.co/5zFcgsOL4k,0,0
4,2021-12-04 21:53:55,SkaterNike20,skater_nike_20,29,211,,"RT @Euskalmet: #EguraldiaIgandea

🌧 Euria barra-barra, batez ere iparraldean. Elur-kota 800-900 metrora, beherago koka daiteke.

🌡 Tenperat…",0,6
5,2021-12-04 21:53:51,JUSTin 🥱,Sir_Nike,2291,3596,"Dallas, TX",Pressure from Tindall,0,0
6,2021-12-04 21:53:40,feio não rústico,_jefersonAlex,516,373,Perdido,"sempre preferi nike no pé, porém esse Adidas xl9004 mudou meu conceito o tênis confortável e bonito",0,0
7,2021-12-04 21:53:39,JA Cane,pure_fiah,43,125,Florida,@CaneFilms but they have nike money and jets!!!,0,0
8,2021-12-04 21:53:37,low life,csmyrski1,7,37,,Jordan 3 patchwork. Under rated for sure! @J23app @SoleRetriever @Nike @snkr_twitr @thesnkrsleaker https://t.co/131PjD7GBW,0,0
9,2021-12-04 21:53:35,ＳＩＦ,dbpwriter,1546,2149,,RT @AtWhatCostflac: NIKEのCMは素晴らしいし、多分担当者が違うんだろうけど宮下公園のホームレスの方々排除とバングラデシュの縫製工場での低賃金労働は全く許してないからそこんとこも改善よろしく！,0,136
10,2021-12-04 21:53:30,+234kas,nighahighasf,51,206,,"RT @SneakerNews: Familia Skateshop x Nike SB Dunk Low ""First Ave"" releases on 12/11 at skateshops only. It is the final Nike SB Dunk collab…",0,29
11,2021-12-04 21:53:25,のっぺ,maTsu_NOPPE,961,4125,愛知県,"RT @tenbaijyouhou12: 🔥フォロワー6500人記念プレゼント企画🔥
フォロワー6500人を記念して""PEACEMINUSONE × NIKE KWONDO 1""27cmを1名にプレゼントします！
参加は@tenbaijyouhou12のフォローとこのツイートの…",0,355
12,2021-12-04 21:53:20,𝑳𝒂 𝒗𝒊𝒆 𝒅'𝒎𝒂 𝒓𝒂𝒄𝒆 .•°,akhydu_city,282,259,21e si tu trouve mek,@mrr_qlf @shnz_km Tu veut j'te nike ?,1,0
13,2021-12-04 21:53:19,Tiểu My Lèng,leng_my,0,87,,"RT @EnesFreedom: Dear @Nike

Stop the modern day SLAVERY, now!!!

#HypocriteNike

#EndUyghurForcedLabor https://t.co/tvX2k3wE4X",0,11623
14,2021-12-04 21:53:13,相互フォロー支援@リフォロー100％,Ib4z7VNTYfmzUvP,387,707,,"ナイキとシュプリームがコラボしたスニーカーがコチラ！
20AW Supreme × Nike Air Max Plus TN sneaker https://t.co/dgrVk9ZHAD",0,0
